MOC_ZONAS_ID;PRECIO_PROMEDIO_ALQUILER_LOCAL;PRECIO_MAX_ALQUILER_LOCAL;PRECIO_MIN_ALQUILER_LOCAL;SUPERFICIE_M2_PROMEDIO_ALQUILER;SUPERFICIE_M2_MAX_ALQUILER;SUPERFICIE_M2_MIN_ALQUILER;NIVEL_LOCALES_RUBRO_PREDOMINANTE;RUBRO_PREDOMINANTE;FACTURACION_PROM_RUBRO_PREDOMINANTE;NIVEL_LOCALES_RUBRO_MENOS_PREDOMINANTE;RUBRO_MENOS_PREDOMINANTE;FACTURACION_PROM_RUBRO_MENOS_PREDOMINANTE
1;58128.80;162999.60;26000.00;322.26;1809.50;123.10;1;RESTAURANTES;5;1;HELADERIAS;1
2;34854.58;47068.93;20401.40;167.54;188.28;145.72;1;COMIDA AL PASO;5;1;VETERINARIA;1
3;10606.00;13311.99;7900.00;120.67;162.34;79.00;1;INDUMENTARIA;5;1;INSTITUCIONES DEPORTIVAS;1
4;25500.53;150000.00;6436.93;154.71;321.85;92.00;1;INDUMENTARIA;5;1;VETERINARIA;2
5;28014.00;28014.00;28014.00;304.50;304.50;304.50;1;INDUMENTARIA;5;1;INSTITUCIONES DEPORTIVAS;5
6;22423.55;22423.55;22423.55;86.24;86.24;86.24;1;INDUMENTARIA;5;1;COMIDA AL PASO;1
7;18225.28;25281.01;5700.00;481.56;1264.05;87.70;1;INDUMENTARIA;5;1;TRATAMIENTOS ESTETICOS;1
8;0;0;0;0;0;0;1;INDUMENTARIA;1;1;INDUMENTARIA;1
9;37864.90;143510.81;2500.00;507.03;1371.11;98.80;2;INDUMENTARIA;4;1;INSTITUCIONES DEPORTIVAS;5
10;34838.33;83089.83;5000.00;156.78;276.97;82.00;1;MUSICA Y LIBRERIA;5;1;INSUMOS PARA EL HOGAR;5
11;29610.93;50000.00;3800.00;225.91;333.30;90.50;1;INDUMENTARIA;5;1;VETERINARIA;1
12;56925.15;120000.00;4200.00;191.37;460.90;80.00;1;FERRETERIA Y CONSTRUCCION;5;1;INSTITUCIONES DEPORTIVAS;1
13;4122.19;8215.40;1925.25;162.74;216.90;117.36;1;INDUMENTARIA;3;1;INSTITUCIONES DEPORTIVAS;1
14;0;0;0;0;0;0;1;INDUMENTARIA;2;1;CARNES Y VERDURAS;1
15;4733.33;7700.00;3000.00;154.80;240.60;107.10;2;INDUMENTARIA;4;1;SALUD Y COSMETICA;1
16;8071.43;30000.00;3500.00;155.81;250.00;112.90;3;INDUMENTARIA;4;2;RESTAURANTES;1
17;23298.21;103322.48;5000.00;179.50;228.60;92.83;3;INDUMENTARIA;5;1;HELADERIAS;1
18;6976.04;12000.00;2456.26;119.03;163.75;83.10;2;INDUMENTARIA;4;1;RESTAURANTES;5
19;11422.02;35000.00;3500.00;223.64;875.00;82.00;2;INDUMENTARIA;5;1;BARES Y CAFES;1
20;26567.59;80000.00;4200.00;276.76;892.90;112.50;4;INDUMENTARIA;4;4;INSTITUCIONES DEPORTIVAS;1
21;9744.48;40000.00;2900.00;188.21;352.90;108.55;2;INDUMENTARIA;4;2;TRATAMIENTOS ESTETICOS;1
22;12958.49;50586.26;3000.00;167.94;337.24;80.00;2;INDUMENTARIA;5;5;RESTAURANTES;2
23;11511.30;40000.00;2500.00;179.70;284.00;104.00;2;INDUMENTARIA;5;1;TRATAMIENTOS ESTETICOS;1
24;9616.84;51276.01;3000.00;189.55;352.90;88.87;2;INDUMENTARIA;5;2;RESTAURANTES;1
25;9527.71;30000.00;2500.00;188.25;483.90;119.08;2;INDUMENTARIA;3;1;RESTAURANTES;1
26;21629.77;300000.00;1982.68;191.76;684.83;80.00;2;INDUMENTARIA;5;1;HELADERIAS;4
27;10745.61;35000.00;2788.60;181.16;300.00;84.40;3;SALUD Y COSMETICA;5;1;INSUMOS PARA EL HOGAR;1
28;19474.52;45568.05;3500.00;253.40;1681.33;75.80;2;INDUMENTARIA;5;1;TRATAMIENTOS ESTETICOS;2
29;0;0;0;0;0;0;1;INDUMENTARIA;5;1;CARNES Y VERDURAS;1
30;22715.69;65000.00;3000.00;180.25;353.80;80.00;4;INDUMENTARIA;5;5;HELADERIAS;3
31;37890.28;238432.50;4500.00;191.09;577.32;82.30;2;INDUMENTARIA;5;1;HELADERIAS;1
32;13136.58;42000.00;2800.00;199.71;321.20;121.00;1;INDUMENTARIA;5;1;BARES Y CAFES;1
33;38058.66;246500.00;5000.00;231.43;1145.22;78.10;2;INDUMENTARIA;5;4;HELADERIAS;4
34;26000.22;95000.00;3200.00;222.53;1212.66;77.70;1;SALUD Y COSMETICA;5;1;HELADERIAS;1
35;12283.21;35000.00;3500.00;175.95;301.90;100.00;1;SALUD Y COSMETICA;2;4;HELADERIAS;4
36;11055.53;25000.00;2450.00;193.59;733.30;83.30;1;INDUMENTARIA;4;1;INSTITUCIONES DEPORTIVAS;1
37;0;0;0;0;0;0;1;INDUMENTARIA;4;2;HELADERIAS;1
38;0;0;0;0;0;0;1;FERRETERIA Y CONSTRUCCION;5;1;CARNES Y VERDURAS;1
39;28053.72;80000.00;4262.30;131.19;281.30;85.20;1;SALUD Y COSMETICA;5;1;HELADERIAS;1
40;9519.00;23362.53;3216.47;111.22;142.90;79.53;2;INDUMENTARIA;2;1;TRATAMIENTOS ESTETICOS;1
41;16369.34;36371.78;3500.00;191.90;841.17;82.86;3;INDUMENTARIA;5;4;HELADERIAS;1
42;6572.85;11780.61;4305.32;207.66;294.52;139.50;1;INDUMENTARIA;5;1;INSTITUCIONES DEPORTIVAS;1
43;11931.74;30000.00;3500.00;141.71;311.82;76.70;2;INDUMENTARIA;5;1;VETERINARIA;1
44;15866.54;30000.00;3500.00;238.27;529.40;120.00;1;INDUMENTARIA;5;1;TRATAMIENTOS ESTETICOS;2
45;74284.25;270000.00;3185.07;222.95;681.80;76.19;2;INDUMENTARIA;2;1;BARES Y CAFES;1
46;23082.22;74923.48;5500.00;203.14;1129.66;80.00;1;SALUD Y COSMETICA;5;1;HELADERIAS;1
47;24527.31;77000.00;2843.68;166.04;261.00;83.30;1;INDUMENTARIA;5;1;BARES Y CAFES;1
48;50173.34;149000.00;4500.00;170.98;474.63;86.50;2;MUSICA Y LIBRERIA;5;5;TRATAMIENTOS ESTETICOS;1
49;21696.10;71755.41;3899.95;227.04;1204.19;76.00;1;INDUMENTARIA;5;1;VETERINARIA;1
50;25458.21;110000.00;3776.51;300.70;2175.07;81.00;1;INDUMENTARIA;2;1;INSTITUCIONES DEPORTIVAS;2
51;57728.01;1412690.40;1500.00;499.58;7739.79;80.00;5;OPTICA Y JOYERIAS;5;1;VETERINARIA;5
52;15888.72;29000.00;1100.00;228.50;1261.75;85.70;2;MUSICA Y LIBRERIA;5;1;TRATAMIENTOS ESTETICOS;1
53;23372.74;150000.00;4000.00;188.39;750.00;78.70;2;SALUD Y COSMETICA;5;1;VETERINARIA;1
54;22065.59;44198.39;6000.00;197.62;789.92;76.70;1;SALUD Y COSMETICA;4;1;VETERINARIA;1
55;42418.62;346234.00;5000.00;324.26;5576.51;75.60;2;INDUMENTARIA;5;2;VETERINARIA;5
56;16433.85;50000.00;4103.12;183.99;208.30;137.10;1;INDUMENTARIA;5;1;HELADERIAS;1
57;25212.50;150000.00;2500.00;238.10;473.70;157.10;1;INDUMENTARIA;2;1;TRATAMIENTOS ESTETICOS;5
58;75001.29;475290.00;3000.00;296.84;724.70;88.20;3;INDUMENTARIA;5;1;HELADERIAS;5
59;23937.98;46885.40;5500.00;153.38;190.55;83.30;1;SALUD Y COSMETICA;2;1;VETERINARIA;2
60;42352.72;557172.00;2690.69;385.46;9113.62;75.60;5;INDUMENTARIA;5;2;HELADERIAS;5
61;41642.19;279928.73;4800.00;320.86;1009.51;95.20;3;SALUD Y COSMETICA;5;4;HELADERIAS;2
62;0;0;0;0;0;0;1;INDUMENTARIA;1;1;INSTITUCIONES DEPORTIVAS;1
63;9285.71;12000.00;5000.00;182.77;277.50;97.00;3;INDUMENTARIA;2;1;HELADERIAS;1
64;5166.67;8000.00;3500.00;109.67;140.00;80.00;2;INDUMENTARIA;3;1;BARES Y CAFES;1
65;21800.00;65000.00;4800.00;97.47;145.50;76.70;1;INDUMENTARIA;2;1;INSTITUCIONES DEPORTIVAS;1
66;38279.96;170000.00;4500.00;546.27;5944.95;84.50;5;INDUMENTARIA;5;4;HELADERIAS;5
67;33935.88;230000.00;3500.00;290.79;793.87;95.00;3;SALUD Y COSMETICA;5;2;HELADERIAS;4
68;62905.70;107633.03;6278.48;362.49;869.60;88.70;5;INDUMENTARIA;5;1;INSTITUCIONES DEPORTIVAS;5
69;61370.87;90000.00;10000.00;324.33;572.59;180.00;4;INDUMENTARIA;5;1;VETERINARIA;1
70;0;0;0;0;0;0;1;INDUMENTARIA;5;1;RESTAURANTES;2
71;18383.33;55000.00;5000.00;154.97;316.70;90.00;1;MUSICA Y LIBRERIA;5;1;VETERINARIA;1
72;24194.48;119789.50;2800.00;295.18;2828.01;83.30;3;INDUMENTARIA;5;2;HELADERIAS;5
73;20572.37;55000.00;8500.00;264.46;498.00;116.10;2;SALUD Y COSMETICA;2;1;FIAMBRERIAS Y DIETETICAS;2
74;27255.02;290000.00;4000.00;261.87;1971.65;75.56;5;INDUMENTARIA;5;1;HELADERIAS;5
75;40000.00;40000.00;40000.00;78.70;78.70;78.70;1;MUSICA Y LIBRERIA;5;1;RESTAURANTES;1
76;12629.61;25702.42;3200.00;243.16;1228.63;77.30;2;SALUD Y COSMETICA;3;4;INSTITUCIONES DEPORTIVAS;1
77;33887.52;123675.35;3662.36;297.86;2358.19;100.00;2;OPTICA Y JOYERIAS;5;1;VETERINARIA;3
78;43451.17;203749.87;4500.00;391.19;919.82;82.13;4;INDUMENTARIA;5;5;HELADERIAS;3
79;20392.48;126233.66;2000.00;254.00;1233.30;77.60;4;INDUMENTARIA;5;4;HELADERIAS;1
80;11838.19;44031.55;3300.00;147.25;233.38;77.49;2;INDUMENTARIA;3;2;HELADERIAS;2
81;11717.60;29000.00;5000.00;221.84;413.71;127.80;1;FERRETERIA Y CONSTRUCCION;5;1;INSTITUCIONES DEPORTIVAS;1
82;18704.67;120000.00;3800.00;185.31;333.30;82.91;2;INDUMENTARIA;5;2;RESTAURANTES;3
83;52626.82;165000.00;3700.00;263.05;1089.61;97.94;2;SALUD Y COSMETICA;5;1;INSUMOS PARA EL HOGAR;4
84;27255.43;71653.57;4000.00;671.04;3582.68;100.00;2;INDUMENTARIA;3;2;HELADERIAS;3
85;53885.86;200000.00;1903.33;213.67;640.36;88.70;1;INDUMENTARIA;5;1;CARNES Y VERDURAS;5
86;35490.06;63131.25;13425.98;224.71;341.25;157.95;1;KIOSCOS Y LOTERIAS;2;1;INSUMOS PARA EL HOGAR;1
87;13256.97;45000.00;3000.00;198.80;480.00;83.30;3;INDUMENTARIA;3;1;HELADERIAS;5
88;28370.34;130000.00;3600.00;228.01;3055.23;78.90;2;OPTICA Y JOYERIAS;5;1;VETERINARIA;3
89;93839.29;500000.00;3300.00;641.76;9712.50;105.50;3;SALUD Y COSMETICA;5;1;VETERINARIA;1
90;30661.44;75000.00;4390.00;376.25;1449.45;178.60;4;INDUMENTARIA;5;4;VETERINARIA;2
91;16639.07;78284.53;3500.00;224.28;400.00;100.00;1;INDUMENTARIA;5;1;TRATAMIENTOS ESTETICOS;3
92;16796.71;38000.00;4016.72;156.70;303.90;108.60;1;INDUMENTARIA;5;1;VETERINARIA;1
93;19880.00;30000.00;4500.00;156.84;213.00;107.10;1;FERRETERIA Y CONSTRUCCION;5;2;RESTAURANTES;1
94;44438.65;138069.31;4859.12;466.26;4149.44;114.30;2;SALUD Y COSMETICA;3;1;HELADERIAS;2
95;47221.40;150000.00;3500.00;333.50;800.00;147.70;2;SALUD Y COSMETICA;3;5;VETERINARIA;2
96;36586.75;80000.00;12256.62;374.15;807.53;118.90;3;SALUD Y COSMETICA;5;4;VETERINARIA;2
97;15817.18;50000.00;4000.00;168.28;283.30;107.10;2;INDUMENTARIA;5;1;HELADERIAS;5
98;23734.29;90000.00;4844.48;203.66;445.50;93.08;2;INDUMENTARIA;5;2;INSTITUCIONES DEPORTIVAS;1
99;6193.05;13000.00;3000.00;125.39;166.70;108.30;1;INDUMENTARIA;4;1;INSTITUCIONES DEPORTIVAS;1
100;10826.06;35000.00;2500.00;134.65;333.87;91.10;2;INDUMENTARIA;2;1;TRATAMIENTOS ESTETICOS;1
101;27185.71;100000.00;5000.00;168.49;293.30;99.00;1;INDUMENTARIA;4;1;HELADERIAS;2
102;20304.81;68000.00;3000.00;167.24;363.60;85.70;2;SALUD Y COSMETICA;5;2;HELADERIAS;2
103;32860.80;320110.00;4000.00;203.63;433.30;85.00;3;INDUMENTARIA;5;1;HELADERIAS;1
104;14183.19;45000.00;2300.00;208.59;405.06;78.95;2;INDUMENTARIA;5;1;HELADERIAS;4
105;37109.29;134541.33;4870.75;457.44;5052.44;89.32;2;INDUMENTARIA;5;1;CARNES Y VERDURAS;1
106;41510.45;614980.00;2858.11;226.48;1187.29;77.85;5;INDUMENTARIA;5;5;HELADERIAS;1
107;9034.41;18266.42;4500.00;153.64;227.30;80.00;2;INDUMENTARIA;5;1;HELADERIAS;1
108;13898.89;35160.42;3000.00;152.67;285.70;92.60;2;INDUMENTARIA;5;1;INSTITUCIONES DEPORTIVAS;5
109;58380.05;300000.00;3500.00;130.99;250.00;85.20;1;INDUMENTARIA;5;1;FIAMBRERIAS Y DIETETICAS;1
110;15347.46;65436.97;3500.00;197.43;457.01;80.00;1;SALUD Y COSMETICA;4;2;VETERINARIA;2
111;15524.96;50000.00;1774.17;148.10;333.30;82.10;2;INDUMENTARIA;5;1;INSTITUCIONES DEPORTIVAS;1
112;34876.57;250000.00;2000.00;269.09;1107.66;86.70;3;INDUMENTARIA;5;1;HELADERIAS;3
113;14638.41;40000.00;3800.00;217.86;1532.09;75.80;2;INDUMENTARIA;5;1;HELADERIAS;5
114;28011.29;110424.93;4500.00;256.34;1892.34;89.22;2;SALUD Y COSMETICA;5;1;VETERINARIA;1
115;51398.82;150000.00;7744.11;328.34;1150.18;129.07;1;SALUD Y COSMETICA;5;1;INSTITUCIONES DEPORTIVAS;1
116;32363.28;307490.00;3700.00;236.78;2985.34;85.70;2;INDUMENTARIA;5;2;VETERINARIA;2
117;26278.68;177627.12;4200.00;325.23;1074.53;114.50;3;SALUD Y COSMETICA;5;1;HELADERIAS;3
118;55071.27;1122338.50;2000.00;386.03;2250.00;76.95;5;INDUMENTARIA;5;1;VETERINARIA;5
119;15689.24;70144.97;3800.00;219.99;333.30;125.00;1;SALUD Y COSMETICA;2;1;VETERINARIA;3
120;10378.80;34218.48;3300.00;172.20;431.80;81.10;2;INDUMENTARIA;5;1;TRATAMIENTOS ESTETICOS;1
121;18045.38;100000.00;2000.00;178.94;367.60;80.00;1;INDUMENTARIA;5;1;TRATAMIENTOS ESTETICOS;1
122;12599.46;56885.65;3625.92;190.58;401.37;88.90;1;SUPERMERCADOS Y ALMACENES;5;1;HELADERIAS;1
123;11046.67;30000.00;3000.00;211.01;350.00;136.40;1;SALUD Y COSMETICA;5;1;INSUMOS PARA EL HOGAR;5
124;17232.58;44975.84;3800.00;179.79;273.62;124.00;2;INDUMENTARIA;5;1;HELADERIAS;1
125;12688.69;55458.68;2051.18;169.74;474.57;85.40;1;INDUMENTARIA;3;1;RESTAURANTES;4
126;29878.44;135000.00;3223.75;244.95;2242.19;76.10;5;INDUMENTARIA;5;1;HELADERIAS;3
127;27288.27;150000.00;2400.00;308.52;1946.65;75.50;3;INDUMENTARIA;5;1;INSTITUCIONES DEPORTIVAS;1
128;12571.87;25000.00;4500.00;161.77;204.90;115.00;1;INDUMENTARIA;3;1;RESTAURANTES;1
129;46664.29;210000.00;5500.00;450.41;6581.35;133.30;2;SALUD Y COSMETICA;5;1;HELADERIAS;3
130;31078.41;239337.05;3000.00;367.16;1861.76;77.60;3;INDUMENTARIA;5;2;HELADERIAS;5
131;20300.46;60000.00;3800.00;163.32;333.74;93.38;2;INDUMENTARIA;5;5;HELADERIAS;1
132;16606.08;28000.00;9800.00;162.36;245.00;100.70;1;INDUMENTARIA;3;1;PANADERIAS;2
133;23535.78;43000.00;5000.00;232.18;406.30;154.20;1;INDUMENTARIA;3;2;HELADERIAS;5
134;33501.09;70429.64;7388.11;209.29;294.70;136.40;1;INDUMENTARIA;5;1;HELADERIAS;3
135;32750.10;80000.00;4000.00;469.03;2965.84;104.89;2;INDUMENTARIA;4;1;HELADERIAS;1
136;13111.51;28000.00;3800.00;246.04;866.34;111.10;1;FERRETERIA Y CONSTRUCCION;5;1;COMIDA AL PASO;1
137;38769.79;203559.69;3437.48;327.67;1045.50;100.00;2;INDUMENTARIA;5;1;HELADERIAS;2
138;31794.56;146817.00;4000.00;416.93;7340.85;89.69;1;SALUD Y COSMETICA;4;1;TRATAMIENTOS ESTETICOS;4
139;25136.65;75495.98;3000.00;708.35;3774.80;80.50;1;INDUMENTARIA;5;1;FIAMBRERIAS Y DIETETICAS;4
140;19912.69;99934.25;3962.11;210.18;1717.41;77.30;4;INDUMENTARIA;5;4;HELADERIAS;3
141;50111.01;441652.40;1700.00;303.46;1666.70;76.90;5;INDUMENTARIA;5;1;HELADERIAS;5
142;37730.36;121105.00;6000.00;403.27;1951.56;89.46;4;SALUD Y COSMETICA;5;1;HELADERIAS;5
143;12891.26;50000.00;3000.00;156.67;300.00;77.30;3;INDUMENTARIA;5;1;VETERINARIA;1
144;11331.85;22000.00;4500.00;196.30;380.00;107.10;1;SALUD Y COSMETICA;5;1;HELADERIAS;1
145;23371.42;95000.00;5500.00;303.68;916.70;120.00;2;INDUMENTARIA;3;2;HELADERIAS;5
146;46256.52;692468.00;2000.00;346.97;2377.25;97.20;3;INDUMENTARIA;5;4;HELADERIAS;2
147;20586.00;70000.00;4109.06;266.05;1031.82;95.00;2;SALUD Y COSMETICA;3;1;INSUMOS PARA EL HOGAR;1
148;20687.06;85614.19;5102.46;166.31;255.12;133.21;1;INDUMENTARIA;5;2;TRATAMIENTOS ESTETICOS;1
149;31323.54;131681.66;2900.00;399.76;6584.08;88.20;3;SALUD Y COSMETICA;5;5;HELADERIAS;5
150;42331.26;307490.00;4500.00;332.39;2266.63;85.70;3;INDUMENTARIA;5;2;HELADERIAS;1
151;20443.40;100000.00;3000.00;226.46;2142.90;86.76;5;INDUMENTARIA;5;1;HELADERIAS;3
152;15611.29;43549.23;2000.00;134.42;220.00;75.60;5;INDUMENTARIA;5;1;HELADERIAS;5
153;31240.00;60000.00;4200.00;161.88;338.50;90.90;1;INDUMENTARIA;4;1;CARNES Y VERDURAS;1
154;20428.46;80724.73;4500.00;156.52;312.62;75.80;1;INDUMENTARIA;5;1;TRATAMIENTOS ESTETICOS;1
155;48221.86;238000.00;4300.00;399.12;6399.52;78.00;2;MUSICA Y LIBRERIA;5;1;CARNES Y VERDURAS;1
156;17760.84;86919.30;5131.90;214.37;376.17;91.70;1;SALUD Y COSMETICA;4;1;VETERINARIA;1
157;24878.93;80000.00;4500.00;161.11;313.93;76.20;1;COMIDA AL PASO;5;1;HELADERIAS;1
158;40826.59;120000.00;6000.00;258.29;611.10;85.70;2;INDUMENTARIA;5;1;VETERINARIA;2
159;63489.26;372107.50;2033.20;382.39;1281.35;77.80;3;SALUD Y COSMETICA;5;5;FIAMBRERIAS Y DIETETICAS;5
160;43519.26;109154.98;4138.04;416.57;1074.96;145.80;5;SALUD Y COSMETICA;5;2;HELADERIAS;5
161;15200.93;50000.00;2500.00;134.53;325.09;88.20;1;INDUMENTARIA;5;1;RESTAURANTES;1
